Name,Year,Genre,Publisher,EU_Sales,Global_Sales
Wii Sports,2006,Sports,Nintendo,29.02,82.74
Super Mario Bros.,1985,Platform,Nintendo,3.58,40.24
Mario Kart Wii,2008,Racing,Nintendo,12.88,35.82
Wii Sports Resort,2009,Sports,Nintendo,11.01,33
Pokemon Red/Pokemon Blue,1996,Role-Playing,Nintendo,8.89,31.37
Tetris,1989,Puzzle,Nintendo,2.26,30.26
New Super Mario Bros.,2006,Platform,Nintendo,9.23,30.01
Wii Play,2006,Misc,Nintendo,9.2,29.02
New Super Mario Bros. Wii,2009,Platform,Nintendo,7.06,28.62
Duck Hunt,1984,Shooter,Nintendo,0.63,28.31
Nintendogs,2005,Simulation,Nintendo,11,24.76
Mario Kart DS,2005,Racing,Nintendo,7.57,23.42
Pokemon Gold/Pokemon Silver,1999,Role-Playing,Nintendo,6.18,23.1
Wii Fit,2007,Sports,Nintendo,8.03,22.72
Wii Fit Plus,2009,Sports,Nintendo,8.59,22
Kinect Adventures!,2010,Misc,Microsoft Game Studios,4.94,21.82
Grand Theft Auto V,2013,Action,Take-Two Interactive,9.27,21.4
Grand Theft Auto: San Andreas,2004,Action,Take-Two Interactive,0.4,20.81
Super Mario World,1990,Platform,Nintendo,3.75,20.61
Brain Age: Train Your Brain in Minutes a Day,2005,Misc,Nintendo,9.26,20.22
Pokemon Diamond/Pokemon Pearl,2006,Role-Playing,Nintendo,4.52,18.36
Super Mario Land,1989,Platform,Nintendo,2.71,18.14
Super Mario Bros. 3,1988,Platform,Nintendo,3.44,17.28
Grand Theft Auto V,2013,Action,Take-Two Interactive,5.31,16.38
Grand Theft Auto: Vice City,2002,Action,Take-Two Interactive,5.49,16.15
Pokemon Ruby/Pokemon Sapphire,2002,Role-Playing,Nintendo,3.9,15.85
Pokemon Black/Pokemon White,2010,Role-Playing,Nintendo,3.28,15.32
Brain Age 2: More Training in Minutes a Day,2005,Puzzle,Nintendo,5.36,15.3
Gran Turismo 3: A-Spec,2001,Racing,Sony Computer Entertainment,5.09,14.98
Call of Duty: Modern Warfare 3,2011,Shooter,Activision,4.28,14.76
Pokémon Yellow: Special Pikachu Edition,1998,Role-Playing,Nintendo,5.04,14.64
Call of Duty: Black Ops,2010,Shooter,Activision,3.73,14.64
Pokemon X/Pokemon Y,2013,Role-Playing,Nintendo,4.05,14.35
Call of Duty: Black Ops 3,2015,Shooter,Activision,5.81,14.24
Call of Duty: Black Ops II,2012,Shooter,Activision,5.88,14.03
Call of Duty: Black Ops II,2012,Shooter,Activision,4.3,13.73
Call of Duty: Modern Warfare 2,2009,Shooter,Activision,3.63,13.51
Call of Duty: Modern Warfare 3,2011,Shooter,Activision,5.82,13.46
Grand Theft Auto III,2001,Action,Take-Two Interactive,4.51,13.1
Super Smash Bros. Brawl,2008,Fighting,Nintendo,2.61,13.04
Call of Duty: Black Ops,2010,Shooter,Activision,4.44,12.73
Animal Crossing: Wild World,2005,Simulation,Nintendo,3.52,12.27
Mario Kart 7,2011,Racing,Nintendo,3.91,12.21
Halo 3,2007,Shooter,Microsoft Game Studios,2.83,12.14
Grand Theft Auto V,2014,Action,Take-Two Interactive,5.81,11.98
Pokemon HeartGold/Pokemon SoulSilver,2009,Action,Nintendo,2.77,11.9
Super Mario 64,1996,Platform,Nintendo,2.85,11.89
Gran Turismo 4,2004,Racing,Sony Computer Entertainment,0.01,11.66
Super Mario Galaxy,2007,Platform,Nintendo,3.4,11.52
Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014,Role-Playing,Nintendo,3.37,11.33
Super Mario Land 2: 6 Golden Coins,1992,Adventure,Nintendo,2.04,11.18
Grand Theft Auto IV,2008,Action,Take-Two Interactive,3.1,11.02
Gran Turismo,1997,Racing,Sony Computer Entertainment,3.87,10.95
Super Mario 3D Land,2011,Platform,Nintendo,2.99,10.79
Gran Turismo 5,2010,Racing,Sony Computer Entertainment,4.88,10.77
Call of Duty: Modern Warfare 2,2009,Shooter,Activision,3.69,10.69
Grand Theft Auto IV,2008,Action,Take-Two Interactive,3.76,10.57
Super Mario All-Stars,1993,Platform,Nintendo,2.15,10.55
Pokemon FireRed/Pokemon LeafGreen,2004,Role-Playing,Nintendo,2.65,10.49
Super Mario 64,2004,Platform,Nintendo,3.11,10.42
Just Dance 3,2011,Misc,Ubisoft,3.15,10.26
Call of Duty: Ghosts,2013,Shooter,Activision,2.63,10.21
Halo: Reach,2010,Shooter,Microsoft Game Studios,1.98,9.88
Mario Kart 64,1996,Racing,Nintendo,1.94,9.87
New Super Mario Bros. 2,2012,Platform,Nintendo,3.07,9.82
Halo 4,2012,Shooter,Microsoft Game Studios,2.36,9.76
Final Fantasy VII,1997,Role-Playing,Sony Computer Entertainment,2.47,9.72
Call of Duty: Ghosts,2013,Shooter,Activision,3.73,9.59
Just Dance 2,2010,Misc,Ubisoft,2.89,9.52
